                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                 1.1273,                 1.1135,                0.88454,                0.84359,                0.31818,                0.35895,                0.20497,                 1.0704,                  1.007,                0.95339,                0.00379,                0.00379,                0.00379
                    140,                 1.2587,                 1.2859,                0.96085,                0.84741,                0.31987,                0.36099,                0.20619,                 1.0714,                 1.0007,                0.95402,               0.003745,               0.003745,               0.003745
                    141,                  1.163,                 1.1809,                 0.8891,                0.85306,                0.32767,                0.36588,                 0.2088,                 1.0704,                0.99669,                0.95231,                 0.0037,                 0.0037,                 0.0037
                    142,                 1.1098,                 1.1222,                0.88709,                0.85688,                0.32974,                  0.368,                0.21156,                 1.0699,                0.99208,                0.95148,               0.003655,               0.003655,               0.003655
                    143,                 1.1681,                 1.2207,                0.89976,                0.85283,                0.32692,                0.36853,                0.20911,                 1.0704,                 0.9894,                 0.9523,                0.00361,                0.00361,                0.00361
                    144,                 1.1527,                 1.1104,                0.92561,                0.85045,                0.32645,                0.36926,                0.21218,                 1.0681,                0.98602,                0.95056,               0.003565,               0.003565,               0.003565
                    145,                 1.1898,                 1.1463,                0.92864,                0.85664,                0.32896,                0.37061,                0.21308,                 1.0679,                   0.98,                0.95043,                0.00352,                0.00352,                0.00352
                    146,                 1.1153,                 1.1009,                0.88813,                0.85301,                 0.3275,                0.37085,                0.21199,                 1.0671,                0.97712,                0.95014,               0.003475,               0.003475,               0.003475
                    147,                 1.1823,                 1.1444,                0.92804,                0.85325,                0.32827,                0.37394,                0.21317,                 1.0665,                0.97354,                0.94918,                0.00343,                0.00343,                0.00343
                    148,                  1.114,                 1.1026,                0.87653,                0.85386,                 0.3302,                0.37393,                0.21739,                 1.0655,                0.97056,                 0.9489,               0.003385,               0.003385,               0.003385
                    149,                 1.1261,                 1.0883,                0.86745,                0.85327,                0.32831,                0.37419,                 0.2177,                 1.0673,                0.96847,                0.94946,                0.00334,                0.00334,                0.00334
                    150,                 1.2252,                 1.2693,                0.96211,                0.85507,                0.33471,                0.37769,                0.22018,                 1.0667,                0.96589,                0.94905,               0.003295,               0.003295,               0.003295
                    151,                 1.0283,                0.99778,                0.82456,                0.85539,                0.33512,                0.37927,                0.22004,                  1.066,                0.96456,                0.94813,                0.00325,                0.00325,                0.00325
                    152,                 1.1908,                 1.1236,                 0.9696,                0.85506,                0.33404,                0.38402,                 0.2223,                 1.0659,                0.96495,                 0.9474,               0.003205,               0.003205,               0.003205
